,score
269,-36.00000000000001
270,-39.4
271,-36.400000000000006
272,-47.0
273,-39.400000000000006
274,-35.60000000000001
275,-24.800000000000004
276,-44.0
277,-36.00000000000001
278,-17.200000000000003
279,-47.0
280,-25.000000000000007
281,-43.6
282,-34.80000000000001
283,-42.2
284,-40.6
285,-44.0
286,-36.00000000000001
287,-27.20000000000001
288,-32.00000000000001
289,-39.8
290,-31.400000000000013
291,-13.400000000000006
292,-75.00000000000001
293,-47.0
294,-35.800000000000004
295,-20.400000000000006
296,-27.80000000000002
297,-33.600000000000016
298,-18.80000000000001
299,-43.800000000000004
300,-47.2
