,score
667,-39.5
668,2.5
669,-7.5
670,-4.0
671,-17.5
672,-15.5
673,32.0
674,-26.0
675,4.5
676,-2.0
677,-16.5
678,-6.0
679,-35.5
680,-3.5
681,-24.0
682,3.5
683,-22.5
684,10.5
685,2.0
686,-37.5
687,8.5
688,-3.0
689,-29.0
690,-23.0
691,12.5
692,1.0
693,-7.5
694,34.5
695,-14.5
696,13.0
697,-46.0
698,15.0
699,59.5
700,17.0
701,5.0
702,-16.0
703,-15.0
704,111.0
705,-27.0
706,10.0
707,11.5
708,-33.0
709,-37.5
710,-25.5
711,-32.5
712,69.0
713,-18.5
714,-23.5
715,-20.5
716,5.0
717,-6.5
718,-7.0
719,104.0
720,9.0
721,-4.0
722,91.0
723,-10.5
724,12.0
725,37.5
726,-20.5
727,-2.5
728,-16.0
729,18.0
730,-28.0
731,-9.5
732,-49.0
733,-1.5
734,-42.0
735,51.0
736,43.0
737,-15.0
738,2.0
739,-47.5
740,31.5
741,58.5
742,3.5
743,-32.0
744,13.5
745,-34.0
746,-3.5
747,-12.5
748,28.5
749,-1.5
750,-0.5
751,-12.0
752,8.5
753,50.5
754,-26.0
755,10.0
756,-19.0
757,25.0
758,12.0
759,3.5
760,-4.5
761,3.5
762,59.5
763,-29.5
764,-49.0
765,-25.0
766,-29.0
767,-3.5
768,20.5
769,1.0
770,42.5
771,-16.5
772,30.0
773,4.0
774,-23.0
775,-38.5
776,-42.0
777,33.0
778,-29.5
779,22.0
780,-12.0
781,-43.0
782,-16.0
783,13.0
784,4.5
785,53.5
786,-16.5
787,-57.0
788,49.5
789,-32.0
790,-25.0
791,-39.0
792,-2.0
793,64.0
794,-1.5
795,30.5
796,-31.0
797,12.5
798,8.0
799,-28.5
800,-32.5
801,-11.0
802,-25.0
803,-13.0
804,-4.5
805,-17.0
806,82.0
807,10.0
808,17.0
809,20.5
810,-20.5
811,-25.0
812,6.0
813,-34.5
814,2.5
815,7.5
816,-10.5
817,-24.5
818,-24.5
819,-22.0
820,16.0
821,-15.5
822,-16.5
823,-19.0
824,-22.5
825,-28.0
826,0.5
827,49.5
828,13.5
829,2.5
830,-22.5
831,-21.5
832,-11.5
833,35.0
834,-33.0
835,18.0
836,42.5
837,-61.0
838,-5.5
839,-22.5
840,-6.5
841,-9.5
842,-3.0
843,16.5
844,-4.5
845,-22.5
846,29.0
847,-28.0
848,38.0
849,-13.0
850,2.0
851,-13.0
852,-31.0
853,-43.0
854,-22.0
855,33.0
856,-38.0
857,13.0
858,-39.5
859,-49.0
860,68.5
861,-6.0
862,-23.0
863,-39.5
864,51.0
865,37.0
866,-25.5
867,7.0
868,10.0
869,20.0
870,2.0
871,15.5
872,70.0
873,-40.0
874,-11.5
875,25.0
876,8.5
877,-33.5
878,-45.5
879,-39.5
880,-14.5
881,5.5
882,-32.0
883,-46.0
884,16.0
885,-5.0
886,-15.5
887,-5.0
888,-9.0
889,-37.0
890,-9.0
891,-26.0
892,-48.0
893,-12.5
894,-36.0
895,-44.0
896,42.0
897,0.0
898,-33.0
899,19.0
900,34.0
901,-2.5
902,22.5
903,-26.5
904,-12.0
905,-17.5
906,-35.0
907,1.5
908,22.0
909,-38.5
910,-19.0
911,-9.0
912,42.0
913,7.5
914,-56.5
915,6.5
916,-0.5
917,33.0
918,-33.5
919,-46.0
920,19.5
921,-6.0
922,-25.5
923,-0.5
924,-47.0
925,-40.5
926,-30.0
927,-23.0
928,-23.0
929,-24.0
930,9.0
931,9.0
932,-42.5
933,31.5
934,-19.5
935,20.5
936,-35.0
937,0.5
938,20.5
939,-28.0
940,-33.0
941,-4.0
942,33.5
943,-10.0
944,-16.5
945,-25.5
946,64.5
947,-0.5
948,25.0
949,-35.5
950,-13.0
951,-4.5
952,9.0
953,-38.5
954,-42.5
955,-13.5
956,43.0
957,16.5
958,-37.0
959,13.0
960,11.5
961,-28.5
962,-21.0
963,5.0
964,15.5
965,24.5
966,-29.5
967,-43.0
968,11.5
969,-37.0
970,8.5
971,12.5
972,23.0
973,-9.5
974,-32.5
975,5.0
976,-35.0
977,0.0
978,28.5
979,-20.0
980,-34.5
981,3.5
982,-24.5
983,2.0
984,112.0
985,-8.5
986,5.5
987,21.5
988,-32.5
989,2.5
990,-1.0
991,-34.5
992,22.0
993,23.0
994,31.5
995,-21.0
996,29.0
997,-22.5
998,-10.5
999,43.5
1000,-43.0
1001,-36.0
1002,-8.0
1003,-25.0
1004,-25.0
1005,-22.5
1006,-21.0
1007,-46.5
1008,-17.5
1009,-22.0
1010,0.5
1011,-13.5
1012,-43.5
1013,32.0
1014,-16.5
1015,-14.5
1016,7.0
1017,-29.5
1018,6.5
1019,109.5
1020,-53.0
1021,-1.0
1022,-13.0
1023,-20.0
1024,-31.0
1025,-0.5
1026,-18.5
1027,-41.5
1028,-47.0
1029,-39.0
1030,-34.0
1031,-11.0
1032,26.5
1033,6.5
1034,-31.0
1035,37.5
1036,-28.0
1037,-28.0
1038,-4.0
1039,14.0
1040,-27.5
1041,2.5
1042,-25.0
1043,16.0
1044,-22.5
1045,-17.0
1046,-4.0
1047,33.5
1048,9.5
1049,-13.0
1050,-18.5
1051,24.5
1052,-15.0
1053,6.5
1054,17.5
1055,-34.5
1056,-17.5
1057,-48.0
1058,14.0
1059,-19.5
1060,-3.5
1061,-16.5
1062,101.0
1063,-32.0
1064,14.5
1065,-4.5
1066,-8.5
1067,-25.0
1068,-21.5
1069,-33.5
1070,-4.0
1071,-2.5
1072,-28.0
1073,10.0
1074,-6.0
1075,-22.5
1076,-19.5
1077,-3.5
1078,-3.5
1079,-23.5
1080,-6.0
1081,-39.0
1082,-23.0
1083,-50.0
1084,20.5
1085,-6.0
1086,-23.0
1087,-29.0
1088,-28.0
1089,-27.0
1090,-23.0
1091,-25.0
1092,-45.5
1093,-58.5
1094,-20.0
1095,-39.0
1096,2.0
1097,14.5
1098,-52.0
1099,-21.0
1100,7.0
1101,-1.0
1102,22.0
1103,-12.0
1104,-18.5
1105,18.0
1106,-47.0
1107,-25.0
1108,-19.0
1109,-26.5
1110,-35.0
1111,-15.5
1112,-25.5
1113,-7.0
1114,-33.5
1115,-4.5
1116,-12.0
1117,-30.5
1118,39.5
1119,3.5
1120,-28.0
1121,-24.5
1122,-17.0
1123,-20.0
1124,-21.0
1125,-49.0
1126,42.0
1127,-29.0
1128,-17.5
1129,24.0
1130,-15.5
1131,-37.0
1132,-43.5
1133,18.0
1134,-10.0
1135,-30.0
1136,-23.0
1137,-41.0
1138,34.5
1139,-24.5
1140,-14.0
1141,-13.5
1142,-27.0
1143,28.5
1144,1.5
1145,-40.5
1146,0.0
1147,-3.5
1148,3.5
1149,-13.0
1150,-27.5
1151,-42.0
1152,-5.5
1153,-50.5
1154,5.0
1155,-42.5
1156,-0.5
1157,-45.5
1158,-6.0
1159,-21.0
1160,-35.0
1161,-55.5
1162,40.0
1163,-11.0
1164,3.5
1165,-23.5
1166,-48.0
1167,-13.0
1168,-18.0
1169,-28.0
1170,-17.0
1171,-17.5
1172,-31.5
1173,-15.0
1174,-20.0
1175,-53.0
1176,-35.0
1177,-44.5
1178,-18.5
1179,-10.0
1180,-45.0
1181,-4.0
1182,-14.0
